step,signal_2000_samples_0d,signal_2000_samples_1d,signal_2000_samples_2d,signal_2000_samples_3d,prediction,anomaly_score,anomaly_likelihood,Annotation
0,0.1130037276261286,-0.15895260655473645,-0.5437796284836941,-0.1079369999152162,,1.0,0.5,
1,0.039759557793490184,-0.08090690613709317,-0.6058483046684345,0.016289111475412232,0.1130037276261286,1.0,0.5,
2,-0.028852344901939674,-0.015831258742456406,-0.6724048778117303,0.13434970338861832,0.1130037276261286,1.0,0.5,
3,-0.09044374110816376,0.044401922487542655,-0.7274193395467132,0.2451314090794474,0.09103047667633707,0.5,0.5,
4,-0.13888696052314306,0.1017201645190978,-0.7817050768685562,0.3418603537518004,0.05506563020285405,0.5,0.5,
5,-0.18248929328632574,0.15779525856726653,-0.8074278442007017,0.4456860286269966,0.011412818809548708,0.5,0.5,
6,-0.218332963217238,0.19707485096609756,-0.8404393976666827,0.5212718150443295,-0.033677114990258813,0.5,0.5,
7,-0.25427185132398217,0.2345364102466403,-0.8508117921800507,0.5740908654740549,-0.07832076847907889,0.5,0.5,
8,-0.2867730778322661,0.27520190222557084,-0.8845346880799334,0.645034231703975,-0.1203244269005266,0.5,0.5,
9,-0.31217729149072954,0.30356178750021395,-0.910879273998482,0.6901683920228778,-0.16050865422756327,0.5,0.5,
10,-0.3429860917469569,0.3406360469323828,-0.941772521615944,0.7379561021498551,-0.1983879813089741,0.5,0.5,
11,-0.3729674213326801,0.3646308354464003,-0.9617336246057008,0.7894533500040725,-0.2325247743635007,0.5,0.5,
12,-0.3943774579970292,0.3863767702055729,-0.974482322108211,0.8228129448046397,-0.26566316957853753,0.5,0.5,
13,-0.4136874894018375,0.4001412249887104,-1.0070779027826249,0.8613499647069044,-0.2978544451047803,0.5,0.5,
14,-0.4355728096665576,0.416486102951692,-1.0171020092310394,0.8861090385691822,-0.3268113489724549,0.5,0.5,
15,-0.4478733093330717,0.4279383885341021,-1.0283534099390947,0.912475257310384,-0.3528741911012697,0.5,0.5,
16,-0.4626101079715044,0.4420260876088925,-1.0385359885769654,0.934999894316502,-0.3776837766708561,0.5,0.5,
17,-0.4675362460916408,0.4569230813635593,-0.8939989223902952,0.9145007286723212,-0.3987406364695208,0.59375,0.5,
