elapsed_time,V1
'00:00:20.000',0.400
'00:00:20.003',0.395
'00:00:20.006',0.390
'00:00:20.008',0.390
'00:00:20.011',0.370
'00:00:20.014',0.375
'00:00:20.017',0.365
'00:00:20.019',0.335
'00:00:20.022',0.335
'00:00:20.025',0.330
'00:00:20.028',0.345
'00:00:20.031',0.350
'00:00:20.033',0.345
'00:00:20.036',0.325
'00:00:20.039',0.320
'00:00:20.042',0.325
'00:00:20.044',0.330
'00:00:20.047',0.320
'00:00:20.050',0.310
'00:00:20.053',0.310
'00:00:20.056',0.290
'00:00:20.058',0.295
'00:00:20.061',0.280
'00:00:20.064',0.255
'00:00:20.067',0.260
'00:00:20.069',0.245
'00:00:20.072',0.245
'00:00:20.075',0.260
'00:00:20.078',0.250
'00:00:20.081',0.250
'00:00:20.083',0.235
'00:00:20.086',0.235
'00:00:20.089',0.235
'00:00:20.092',0.235
'00:00:20.094',0.250
'00:00:20.097',0.250
'00:00:20.100',0.250
'00:00:20.103',0.240
'00:00:20.106',0.235
'00:00:20.108',0.245
'00:00:20.111',0.250
'00:00:20.114',0.250
'00:00:20.117',0.240
'00:00:20.119',0.230
'00:00:20.122',0.215
'00:00:20.125',0.235
'00:00:20.128',0.235
'00:00:20.131',0.225
'00:00:20.133',0.230
'00:00:20.136',0.225
'00:00:20.139',0.220
'00:00:20.142',0.225
'00:00:20.144',0.225
'00:00:20.147',0.220
'00:00:20.150',0.215
'00:00:20.153',0.200
'00:00:20.156',0.205
'00:00:20.158',0.225
'00:00:20.161',0.230
'00:00:20.164',0.225
'00:00:20.167',0.175
'00:00:20.169',0.095
'00:00:20.172',-0.005
'00:00:20.175',-0.110
'00:00:20.178',-0.220
'00:00:20.181',-0.380
'00:00:20.183',-0.605
'00:00:20.186',-0.875
'00:00:20.189',-1.155
'00:00:20.192',-1.365
'00:00:20.194',-1.450
'00:00:20.197',-1.435
'00:00:20.200',-1.390
'00:00:20.203',-1.350
'00:00:20.206',-1.305
'00:00:20.208',-1.250
'00:00:20.211',-1.180
'00:00:20.214',-1.125
'00:00:20.217',-1.085
'00:00:20.219',-1.070
'00:00:20.222',-1.025
'00:00:20.225',-0.965
'00:00:20.228',-0.915
'00:00:20.231',-0.870
'00:00:20.233',-0.820
'00:00:20.236',-0.770
'00:00:20.239',-0.715
'00:00:20.242',-0.660
'00:00:20.244',-0.580
'00:00:20.247',-0.475
'00:00:20.250',-0.390
'00:00:20.253',-0.290
'00:00:20.256',-0.215
'00:00:20.258',-0.135
'00:00:20.261',-0.040
'00:00:20.264',0.045
'00:00:20.267',0.110
'00:00:20.269',0.170
'00:00:20.272',0.245
'00:00:20.275',0.290
'00:00:20.278',0.345
'00:00:20.281',0.380
'00:00:20.283',0.395
'00:00:20.286',0.385
'00:00:20.289',0.410
'00:00:20.292',0.420
'00:00:20.294',0.425
'00:00:20.297',0.450
'00:00:20.300',0.430
'00:00:20.303',0.440
'00:00:20.306',0.435
'00:00:20.308',0.455
'00:00:20.311',0.465
'00:00:20.314',0.465
'00:00:20.317',0.465
'00:00:20.319',0.460
'00:00:20.322',0.460
'00:00:20.325',0.475
'00:00:20.328',0.490
'00:00:20.331',0.495
'00:00:20.333',0.490
'00:00:20.336',0.485
'00:00:20.339',0.490
'00:00:20.342',0.490
'00:00:20.344',0.505
'00:00:20.347',0.495
'00:00:20.350',0.495
'00:00:20.353',0.490
'00:00:20.356',0.500
'00:00:20.358',0.505
'00:00:20.361',0.525
'00:00:20.364',0.525
'00:00:20.367',0.510
'00:00:20.369',0.505
'00:00:20.372',0.490
'00:00:20.375',0.510
'00:00:20.378',0.510
'00:00:20.381',0.505
'00:00:20.383',0.510
'00:00:20.386',0.500
'00:00:20.389',0.500
'00:00:20.392',0.510
'00:00:20.394',0.525
'00:00:20.397',0.510
'00:00:20.400',0.510
'00:00:20.403',0.495
'00:00:20.406',0.490
'00:00:20.408',0.495
'00:00:20.411',0.510
'00:00:20.414',0.505
'00:00:20.417',0.495
'00:00:20.419',0.495
'00:00:20.422',0.495
'00:00:20.425',0.500
'00:00:20.428',0.510
'00:00:20.431',0.495
'00:00:20.433',0.505
'00:00:20.436',0.490
'00:00:20.439',0.495
'00:00:20.442',0.500
'00:00:20.444',0.510
'00:00:20.447',0.495
'00:00:20.450',0.500
'00:00:20.453',0.480
